epoch,efficiency_accuracy,efficiency_auc,efficiency_loss,learning_rate,loss,power_loss,power_mae,val_efficiency_accuracy,val_efficiency_auc,val_efficiency_loss,val_loss,val_power_loss,val_power_mae
0,0.9385012984275818,0.9818257093429565,0.25278550386428833,0.0010000000474974513,37.354068756103516,37.09080505371094,5.881843090057373,0.9886363744735718,0.998688817024231,0.18623892962932587,30.11771583557129,29.9456844329834,5.439162731170654
1,0.976356565952301,0.9968061447143555,0.09095371514558792,0.0010000000474974513,6.444729804992676,6.35172176361084,2.2065443992614746,0.9881198406219482,0.9986338019371033,0.06579020619392395,6.847822189331055,6.798093318939209,2.5503907203674316
2,0.9795865416526794,0.9975771903991699,0.06343156844377518,0.0010000000474974513,1.5670186281204224,1.5033930540084839,0.9722922444343567,0.9870867729187012,0.998805820941925,0.0489022471010685,2.0115232467651367,1.9791405200958252,1.3552379608154297
3,0.9820413589477539,0.9983327388763428,0.052862271666526794,0.0010000000474974513,1.2747353315353394,1.2219245433807373,0.8736606240272522,0.9876033067703247,0.9989709854125977,0.04377162456512451,0.6909472942352295,0.6483314633369446,0.6953874230384827
4,0.9822997450828552,0.9983144998550415,0.049426209181547165,0.0010000000474974513,1.1374059915542603,1.0879827737808228,0.8232428431510925,0.9876033067703247,0.9989805817604065,0.04312202334403992,0.36073464155197144,0.3181028664112091,0.48081210255622864
5,0.9828165173530579,0.9983272552490234,0.04834119603037834,0.0010000000474974513,1.0995491743087769,1.0512090921401978,0.8178568482398987,0.9886363744735718,0.999048113822937,0.04226159304380417,0.17020581662654877,0.1280878186225891,0.29933083057403564
6,0.9825581312179565,0.9984841346740723,0.04713956266641617,0.0010000000474974513,1.0673202276229858,1.020154595375061,0.7944740653038025,0.9896694421768188,0.9990977048873901,0.04015755653381348,0.1632845401763916,0.12391387671232224,0.27688831090927124
7,0.9832041263580322,0.9984546899795532,0.046978678554296494,0.0010000000474974513,1.004334807395935,0.9575225710868835,0.7760992646217346,0.9901859760284424,0.9991424083709717,0.04077937826514244,0.12969978153705597,0.08807572722434998,0.24141377210617065
8,0.9829457402229309,0.998292088508606,0.04642784595489502,0.0010000000474974513,0.9634742140769958,0.9169704914093018,0.7541349530220032,0.9881198406219482,0.9990986585617065,0.03945791721343994,0.13843408226966858,0.10266519337892532,0.23707365989685059
9,0.9822997450828552,0.9984603524208069,0.04584210738539696,0.0010000000474974513,0.9699088931083679,0.9240615963935852,0.761573314666748,0.9907024502754211,0.9991795420646667,0.03723374009132385,0.11365275084972382,0.07556435465812683,0.235432431101799
10,0.9841085076332092,0.9986745119094849,0.04273854196071625,0.0010000000474974513,0.9222772717475891,0.8796370029449463,0.7396236658096313,0.9896694421768188,0.9991451501846313,0.0362844243645668,0.20837748050689697,0.17068521678447723,0.3339747488498688
